name,borough,neighborhood,neighborhood_id,borough_id
Catherine St & Monroe St,Manhattan,Chinatown,MN27,1.0
Division St & Bowery,Manhattan,Chinatown,MN27,1.0
Suffolk St & Stanton St,Manhattan,Chinatown,MN27,1.0
Allen St & Rivington St,Manhattan,Chinatown,MN27,1.0
Rivington St & Chrystie St,Manhattan,Chinatown,MN27,1.0
Allen St & E Houston St,Manhattan,Chinatown,MN27,1.0
Forsyth St & Broome St,Manhattan,Chinatown,MN27,1.0
St James Pl & Pearl St,Manhattan,Chinatown,MN27,1.0
Norfolk St & Broome St,Manhattan,Chinatown,MN27,1.0
Forsyth St & Canal St,Manhattan,Chinatown,MN27,1.0
Stanton St & Chrystie St,Manhattan,Chinatown,MN27,1.0
Pike St & E Broadway,Manhattan,Chinatown,MN27,1.0
Bayard St & Baxter St,Manhattan,Chinatown,MN27,1.0
Allen St & Hester St,Manhattan,Chinatown,MN27,1.0
Market St & Cherry St,Manhattan,Chinatown,MN27,1.0
St James Pl & Oliver St,Manhattan,Chinatown,MN27,1.0
Elizabeth St & Hester St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Mott St & Prince St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Cleveland Pl & Spring St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Centre St & Worth St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
MacDougal St & Prince St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Hudson St & Reade St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Franklin St & W Broadway,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Park Pl & Church St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Lispenard St & Broadway,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Church St & Leonard St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Lafayette St & Jersey St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
W Broadway & Spring St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
W Houston St & Hudson St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Reade St & Broadway,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Grand St & Greene St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Howard St & Centre St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Barclay St & Church St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Greenwich St & Warren St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Duane St & Greenwich St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
6 Ave & Broome St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
6 Ave & Canal St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Harrison St & Hudson St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Warren St & Church St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Greenwich St & N Moore St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Watts St & Greenwich St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Murray St & West St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Laight St & Hudson St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Mercer St & Spring St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
Centre St & Chambers St,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
1 Ave & E 30 St,Manhattan,Murray Hill-Kips Bay,MN20,1.0
Pershing Square N,Manhattan,Murray Hill-Kips Bay,MN20,1.0
E 39 St & 3 Ave,Manhattan,Murray Hill-Kips Bay,MN20,1.0
